,DHOBT_DT,F_NAME,FTR_NAME
379,2024-02-06T10:12:06.695525000,SUT_C24_0150_000166_Lev0.5_2024-02-06T10.12.06.695_4081NB05.fits,NB05
122,2024-02-06T07:59:53.85040000,SUT_C24_0145_000161_Lev0.5_2024-02-06T07.59.53.850_4081NB06.fits,NB06
24,2024-02-06T08:08:14.168555000,SUT_C24_0145_000161_Lev0.5_2024-02-06T08.08.14.168_4081NB07.fits,NB07
523,2024-02-06T08:53:43.708665000,SUT_C24_0145_000161_Lev0.5_2024-02-06T08.53.43.708_4081NB07.fits,NB07
681,2024-02-06T07:38:56.487550000,SUT_C24_0144_000160_Lev0.5_2024-02-06T07.38.56.487_4081NB08.fits,NB08
