,DHOBT_DT,F_NAME,FTR_NAME
462,2024-02-08T10:16:11.102855000,SUT_C24_0167_000188_Lev0.5_2024-02-08T10.16.11.102_4081BB02.fits,BB02
96,2024-02-08T08:26:29.43270000,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.26.29.432_4081BB03.fits,BB03
142,2024-02-08T07:27:50.533260000,SUT_C24_0186_000184_Lev0.5_2024-02-08T07.27.50.533_4081NB04.fits,NB04
305,2024-02-08T07:57:11.358150000,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.57.11.358_4081NB04.fits,NB04
566,2024-02-08T07:59:53.424555000,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.59.53.424_4081NB06.fits,NB06
