,DHOBT_DT,F_NAME,FTR_NAME
542,2024-02-04T07:59:53.320900000,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.59.53.320_4081NB06.fits,NB06
64,2024-02-04T07:31:08.928080000,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.31.08.928_4081NB07.fits,NB07
457,2024-02-04T09:13:43.531780000,SUT_C24_0121_000138_Lev0.5_2024-02-04T09.13.43.531_4081NB07.fits,NB07
234,2024-02-04T08:01:11.990040000,SUT_C24_0120_000137_Lev0.5_2024-02-04T08.01.11.990_4081NB08.fits,NB08
631,2024-02-04T08:31:11.876240000,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.31.11.876_4081NB08.fits,NB08
