file	col	row
SUT_C24_0001_000047_Lev1.0_2024-01-29T07.51.07.333_4081NB02.fits	3429	692	
SUT_C24_0047_000062_Lev1.0_2024-01-29T05.38.12.877_4081NB02.fits	2089	2063
SUT_C24_0056_000071_Lev1.0_2024-01-30T05.16.16.816_4081NB02.fits	3474	1358
SUT_C24_0058_000073_Lev1.0_2024-01-30T08.06.16.869_4081NB02.fits	3468	2053
SUT_C24_0068_000083_Lev1.0_2024-01-31T08.05.57.489_4081NB02.fits	3422	3404
SUT_C24_0072_000087_Lev1.0_2024-01-31T05.30.47.582_4081NB02.fits	3443	2725
SUT_C24_0081_000099_Lev1.0_2024-02-01T05.38.32.357_4081NB02.fits	2075	2036
SUT_C24_0082_000100_Lev1.0_2024-02-01T08.06.17.172_4081NB02.fits	2755	657
SUT_C24_0092_000107_Lev1.0_2024-02-02T04.31.26.670_4081NB02.fits	2777	1341
SUT_C24_0095_000110_Lev1.0_2024-02-02T07.28.51.839_4081NB02.fits	2789	2052
SUT_C24_0102_000119_Lev1.0_2024-02-03T04.54.01.649_4081NB02.fits	2054	3391
SUT_C24_0103_000120_Lev1.0_2024-02-03T08.06.16.966_4081NB02.fits	2044	4099
SUT_C24_0114_000131_Lev1.0_2024-02-04T08.13.22.710_4081NB02.fits	1362	2676
SUT_C24_0126_000132_Lev1.0_2024-02-04T04.38.52.645_4081NB02.fits	1357	1302
SUT_C24_0127_000143_Lev1.0_2024-02-05T06.01.46.762_4081NB02.fits	1379	2012
SUT_C24_0127_000143_Lev1.0_2024-02-05T07.44.02.394_4081NB02.fits	1362	3391
SUT_C24_0139_000155_Lev1.0_2024-02-06T04.31.26.770_4081NB02.fits	1381	4069
SUT_C24_0145_000161_Lev1.0_2024-02-06T08.28.12.653_4081NB02.fits	1357	2703
SUT_C24_0152_000168_Lev1.0_2024-02-07T05.23.42.741_4081NB02.fits	674	1296
SUT_C24_0156_000172_Lev1.0_2024-02-07T07.36.36.712_4081NB02.fits	663	1978
SUT_C24_0169_000190_Lev1.0_2024-02-09T05.01.26.602_4081NB02.fits	702	657
SUT_C24_0174_000195_Lev1.0_2024-02-09T08.28.32.162_4081NB02.fits	2093	647
SUT_C24_0181_000180_Lev1.0_2024-02-08T05.38.12.876_4081NB02.fits	754	2700
SUT_C24_0182_000185_Lev1.0_2024-02-08T07.43.42.458_4081NB02.fits	749	3371
SUT_C24_0188_000202_Lev1.0_2024-02-10T05.23.22.495_4081NB02.fits	2077	1330
SUT_C24_0193_000207_Lev1.0_2024-02-10T08.51.27.297_4081NB02.fits	2073	2747
SUT_C24_0201_000215_Lev1.0_2024-02-11T06.21.26.720_4081NB02.fits	2765	2740
SUT_C24_0204_000218_Lev1.0_2024-02-11T07.43.42.375_4081NB02.fits	2759	3447
SUT_C24_0212_000226_Lev1.0_2024-02-12T05.38.12.532_4081NB02.fits	1405	664
SUT_C24_0219_000233_Lev1.0_2024-02-12T09.31.26.574_4081NB02.fits	3571	3586
