name    row    col
NB02_2024-01-29_complete_shtr_0_p1.fits    2089    2063
NB02_2024-01-29_complete_shtr_0_p2.fits    3429    0692
NB02_2024-01-30_complete_shtr_0_p1.fits    3474    1358
NB02_2024-01-30_complete_shtr_0_p2.fits    3468    2053
NB02_2024-01-31_complete_shtr_0_p1.fits    3443    2725
NB02_2024-01-31_complete_shtr_0_p2.fits    3422    3404
NB02_2024-02-01_complete_shtr_0_p1.fits    2075    2036
NB02_2024-02-01_complete_shtr_0_p2.fits    2755    0657
NB02_2024-02-02_complete_shtr_0_p1.fits    2777    1341
NB02_2024-02-02_complete_shtr_0_p2.fits    2789    2052
NB02_2024-02-03_complete_shtr_0_p1.fits    2054    3391
NB02_2024-02-03_complete_shtr_0_p2.fits    2044    4099
NB02_2024-02-04_complete_shtr_0_p1.fits    1362    2676
NB02_2024-02-04_complete_shtr_0_p2.fits    1357    1302
NB02_2024-02-05_complete_shtr_0_p1.fits    1379    2012
NB02_2024-02-05_complete_shtr_0_p2.fits    1362    3391
NB02_2024-02-06_complete_shtr_0_p1.fits    1381    4069
NB02_2024-02-06_complete_shtr_0_p2.fits    1357    2703
NB02_2024-02-07_complete_shtr_0_p1.fits    0674    1296
NB02_2024-02-07_complete_shtr_0_p2.fits    0663    1978
NB02_2024-02-08_complete_shtr_0_p1.fits    0754    2700
NB02_2024-02-08_complete_shtr_0_p2.fits    0749    3371
NB02_2024-02-09_complete_shtr_0_p1.fits    0702    0657
NB02_2024-02-09_complete_shtr_0_p2.fits    2093    0647
NB02_2024-02-10_complete_shtr_0_p1.fits    2077    1330
NB02_2024-02-10_complete_shtr_0_p2.fits    2073    2747
NB02_2024-02-11_complete_shtr_0_p1.fits    2765    2740
NB02_2024-02-11_complete_shtr_0_p2.fits    2759    3447
NB02_2024-02-12_complete_shtr_0_p1.fits    1405    0664
NB02_2024-02-12_complete_shtr_0_p2.fits    3571    3586
