2024-02-06filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.34.48.621_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.35.07.218_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.42.13.151_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.42.32.307_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.49.38.240_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.49.57.396_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.57.03.329_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0139_000155_Lev0.5_2024-02-06T04.57.22.485_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.04.28.418_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.04.47.574_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.11.53.505_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.12.12.661_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.19.18.595_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.19.37.751_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.26.43.684_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.27.02.840_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.34.08.773_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.34.27.929_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.41.33.862_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0140_000156_Lev0.5_2024-02-06T05.41.53.205_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0141_000157_Lev0.5_2024-02-06T06.04.48.168_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0141_000157_Lev0.5_2024-02-06T06.05.07.324_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0141_000157_Lev0.5_2024-02-06T06.24.47.755_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0141_000157_Lev0.5_2024-02-06T06.25.06.911_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0143_000159_Lev0.5_2024-02-06T06.44.47.884_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0143_000159_Lev0.5_2024-02-06T06.45.07.408_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0144_000160_Lev0.5_2024-02-06T07.04.48.139_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0144_000160_Lev0.5_2024-02-06T07.05.07.170_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0144_000160_Lev0.5_2024-02-06T07.24.48.145_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0144_000160_Lev0.5_2024-02-06T07.25.07.301_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0144_000160_Lev0.5_2024-02-06T07.32.13.234_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0144_000160_Lev0.5_2024-02-06T07.32.32.390_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T07.39.38.321_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T07.39.57.477_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T07.47.03.410_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T07.47.22.566_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T07.54.28.500_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T07.54.47.656_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T08.01.53.589_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0145_000161_Lev0.5_2024-02-06T08.02.12.745_4081BB01.fits,179.74,Complete Image,33.3
