2024-01-29filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0001_000047_Lev0.5_2024-01-29T05.41.34.167_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0047_000062_Lev0.5_2024-01-29T05.41.53.323_4081BB01.fits,179.65,Complete Image,133.3
BB01,SUT_C24_0047_000062_Lev0.5_2024-01-29T07.54.28.627_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0047_000062_Lev0.5_2024-01-29T07.54.47.784_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.31.34.249_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.31.53.406_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.54.48.122_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.55.07.168_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0002_000048_Lev0.5_2024-01-29T09.54.47.739_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0001_000047_Lev0.5_2024-01-29T09.54.47.887_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0002_000048_Lev0.5_2024-01-29T09.55.06.895_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0001_000047_Lev0.5_2024-01-29T09.55.07.431_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0046_000061_Lev0.5_2024-01-29T10.14.48.206_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0046_000061_Lev0.5_2024-01-29T10.15.07.176_4081BB01.fits,179.74,Complete Image,133.3
BB02,SUT_C24_0001_000047_Lev0.5_2024-01-29T05.35.32.160_4081BB02.fits,0.53,Complete Image,133.3
BB02,SUT_C24_0047_000062_Lev0.5_2024-01-29T05.35.52.284_4081BB02.fits,179.74,Complete Image,133.3
BB02,SUT_C24_0047_000062_Lev0.5_2024-01-29T05.42.57.247_4081BB02.fits,0.53,Complete Image,133.3
BB02,SUT_C24_0001_000047_Lev0.5_2024-01-29T05.43.17.372_4081BB02.fits,179.74,Complete Image,133.3
BB02,SUT_C24_0001_000047_Lev0.5_2024-01-29T07.55.51.706_4081BB02.fits,0.53,Complete Image,133.3
BB02,SUT_C24_0047_000062_Lev0.5_2024-01-29T07.56.11.830_4081BB02.fits,179.74,Complete Image,133.3
BB02,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.25.32.240_4081BB02.fits,0.53,Complete Image,133.3
BB02,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.25.52.364_4081BB02.fits,179.74,Complete Image,133.3
BB02,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.32.57.330_4081BB02.fits,0.62,Complete Image,133.3
BB02,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.33.17.454_4081BB02.fits,179.74,Complete Image,133.3
BB02,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.56.11.924_4081BB02.fits,0.53,Complete Image,133.3
BB02,SUT_C24_0048_000063_Lev0.5_2024-01-29T08.56.31.216_4081BB02.fits,179.82,Complete Image,133.3
BB02,SUT_C24_0002_000048_Lev0.5_2024-01-29T09.56.10.820_4081BB02.fits,0.62,Complete Image,133.3
BB02,SUT_C24_0001_000047_Lev0.5_2024-01-29T09.56.10.967_4081BB02.fits,0.62,Complete Image,133.3
BB02,SUT_C24_0002_000048_Lev0.5_2024-01-29T09.56.30.944_4081BB02.fits,179.82,Complete Image,133.3
