2024-02-09filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.34.48.116_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.35.07.167_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.42.13.100_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.42.32.256_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.49.38.189_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.49.57.345_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.57.03.279_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0168_000189_Lev0.5_2024-02-09T04.57.22.435_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.04.28.366_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.04.47.522_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.11.53.455_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.12.12.611_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.19.18.544_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.19.37.700_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.26.43.633_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.27.02.789_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.34.08.722_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.34.27.879_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.41.33.812_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0169_000190_Lev0.5_2024-02-09T05.41.52.968_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0170_000191_Lev0.5_2024-02-09T06.04.48.117_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0170_000191_Lev0.5_2024-02-09T06.05.07.274_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0170_000191_Lev0.5_2024-02-09T06.24.47.703_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0170_000191_Lev0.5_2024-02-09T06.25.06.859_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0171_000192_Lev0.5_2024-02-09T06.44.47.834_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0171_000192_Lev0.5_2024-02-09T06.45.06.990_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0173_000194_Lev0.5_2024-02-09T07.04.47.963_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0173_000194_Lev0.5_2024-02-09T07.05.07.119_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0173_000194_Lev0.5_2024-02-09T07.24.48.931_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0173_000194_Lev0.5_2024-02-09T07.25.07.249_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0173_000194_Lev0.5_2024-02-09T07.32.13.182_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0173_000194_Lev0.5_2024-02-09T07.32.32.338_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T07.39.38.271_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T07.39.57.427_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T07.47.03.360_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T07.47.22.516_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T07.54.28.450_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T07.54.47.606_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T08.01.53.569_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0174_000195_Lev0.5_2024-02-09T08.02.12.725_4081BB01.fits,0.53,Complete Image,33.3
