2024-02-11filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.34.48.319_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.35.07.475_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.42.13.408_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.42.32.564_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.49.38.497_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.49.57.653_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.57.03.586_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0199_000213_Lev0.5_2024-02-11T04.57.22.742_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.04.28.673_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.04.47.829_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.11.53.762_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.12.12.919_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.19.18.884_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.19.38.402_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.26.43.973_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.27.03.129_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0200_000214_Lev0.5_2024-02-11T05.34.09.625_4081BB01.fits,0.53,Complete Image,33.3
