2024-02-10filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.34.48.166_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.35.07.321_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.42.13.255_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.42.32.411_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.49.38.342_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.49.57.498_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.57.03.431_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0187_000201_Lev0.5_2024-02-10T04.57.22.587_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.04.28.520_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.04.47.676_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.11.53.609_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.12.12.765_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.19.18.698_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.19.37.854_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.26.43.792_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.27.02.948_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.34.08.907_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.34.28.633_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.41.33.996_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0188_000202_Lev0.5_2024-02-10T05.41.53.152_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0189_000203_Lev0.5_2024-02-10T06.04.48.270_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0189_000203_Lev0.5_2024-02-10T06.05.07.426_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0189_000203_Lev0.5_2024-02-10T06.24.47.857_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0189_000203_Lev0.5_2024-02-10T06.25.07.135_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0189_000203_Lev0.5_2024-02-10T06.44.47.986_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0189_000203_Lev0.5_2024-02-10T06.45.07.142_4081BB01.fits,179.65,Complete Image,33.3
