2024-02-04filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.34.48.268_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.35.07.424_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.42.13.357_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.42.32.513_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.49.38.444_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.49.57.600_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.57.03.533_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.57.22.689_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.04.28.622_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.04.47.778_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.11.53.711_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.12.12.867_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.19.18.800_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.19.37.956_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.26.43.888_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.27.03.442_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.34.08.977_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.34.28.139_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.41.34.665_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T05.41.53.222_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T06.04.48.340_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T06.05.07.496_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T06.24.47.959_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T06.25.07.115_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T06.44.48.886_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0117_000134_Lev0.5_2024-02-04T06.45.07.244_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.04.48.219_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.05.07.375_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.24.48.349_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.25.07.505_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.32.13.438_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.32.32.594_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.39.38.527_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.39.57.683_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.47.03.616_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.47.22.772_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.54.28.703_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0120_000137_Lev0.5_2024-02-04T07.54.47.859_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.01.53.825_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.02.12.981_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.09.18.914_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.09.38.885_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.16.44.369_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.17.03.159_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.24.09.929_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.24.28.249_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.31.34.184_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.31.53.340_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.54.48.422_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0114_000131_Lev0.5_2024-02-04T08.55.07.578_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0121_000138_Lev0.5_2024-02-04T10.14.48.432_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0121_000138_Lev0.5_2024-02-04T10.15.07.588_4081BB01.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.36.11.348_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.36.31.472_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.43.36.437_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.43.56.561_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.51.01.524_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0126_000132_Lev0.5_2024-02-04T04.51.21.648_4081BB02.fits,179.74,Complete Image,33.3
