2024-02-01filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.09.48.398_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T02.10.07.554_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.24.47.984_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.25.07.140_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.39.48.825_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.40.07.238_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T04.34.48.317_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T04.35.07.473_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.42.13.406_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.42.32.562_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.49.38.495_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.49.57.651_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.57.03.584_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.57.22.740_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.04.28.674_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.04.47.830_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.11.53.763_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.12.12.919_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.19.18.850_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.19.38.645_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.26.43.939_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.27.03.956_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.34.09.287_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.34.28.184_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.41.34.117_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.41.53.273_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T06.04.48.391_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T06.05.07.547_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T06.24.48.107_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0081_000099_Lev0.5_2024-02-01T06.25.07.166_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.04.48.271_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.05.07.427_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.24.48.400_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.25.07.556_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.32.13.489_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.32.32.645_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.39.38.578_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.39.57.734_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.47.03.667_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.47.22.823_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.54.28.754_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T07.54.47.911_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T08.01.53.844_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T08.02.13.310_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T08.09.18.933_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T08.09.38.107_4081BB01.fits,0.53,Parial Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T08.16.44.547_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T08.17.03.210_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T08.24.09.144_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T08.24.28.300_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T08.31.34.231_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0090_000097_Lev0.5_2024-02-01T08.31.53.387_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T09.14.48.926_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T09.15.07.248_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T09.34.48.222_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T09.35.07.378_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T10.14.48.482_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0082_000100_Lev0.5_2024-02-01T10.15.07.638_4081BB01.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0090_000097_Lev0.5_2024-02-01T02.11.11.478_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.11.31.602_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0090_000097_Lev0.5_2024-02-01T02.26.11.645_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0090_000097_Lev0.5_2024-02-01T02.26.31.188_4081BB02.fits,179.65,Parial Image,33.3
BB02,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.41.11.162_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0084_000096_Lev0.5_2024-02-01T02.41.31.286_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0090_000097_Lev0.5_2024-02-01T04.36.11.397_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0090_000097_Lev0.5_2024-02-01T04.36.31.521_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.43.36.486_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.43.56.610_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.51.01.576_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.51.21.700_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.58.26.665_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T04.58.46.795_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.05.51.754_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.06.11.878_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.13.16.843_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.13.36.967_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.20.41.930_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.21.02.546_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.28.07.197_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.28.27.143_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.35.32.108_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.35.52.232_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0081_000099_Lev0.5_2024-02-01T05.42.57.198_4081BB02.fits,179.74,Complete Image,33.3
