2024-02-03filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.34.48.113_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.35.07.269_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.42.13.202_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.42.32.358_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.49.38.323_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.49.57.479_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.57.03.412_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T04.57.22.568_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.04.28.501_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.04.47.657_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.11.53.588_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.12.12.744_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.19.18.682_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.19.37.838_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.26.43.767_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.27.02.923_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.34.08.888_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.34.28.444_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.41.33.977_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T05.41.53.133_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T06.04.48.219_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T06.05.07.375_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T06.24.47.806_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T06.25.06.962_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T06.44.47.935_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0102_000119_Lev0.5_2024-02-03T06.45.07.915_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.04.48.665_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.05.07.222_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.24.48.195_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.25.07.351_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.32.13.285_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.32.32.441_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.39.38.374_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.39.57.530_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.47.03.461_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.47.22.617_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.54.28.550_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T07.54.47.706_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T08.01.53.639_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0103_000120_Lev0.5_2024-02-03T08.02.12.795_4081BB01.fits,0.44,Complete Image,33.3
