2024-02-07filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.34.48.215_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.35.07.371_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.42.13.304_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.42.32.460_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.49.38.393_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.49.57.549_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.57.03.483_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.57.22.639_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.04.28.572_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.04.47.728_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.11.53.661_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.12.12.817_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.19.18.748_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.19.37.904_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.26.43.837_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.27.02.993_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.34.08.926_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.34.28.828_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.41.34.160_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0152_000168_Lev0.5_2024-02-07T05.41.53.172_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0154_000170_Lev0.5_2024-02-07T06.44.48.382_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0154_000170_Lev0.5_2024-02-07T06.45.07.194_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0155_000171_Lev0.5_2024-02-07T07.04.48.169_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0155_000171_Lev0.5_2024-02-07T07.05.07.325_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0155_000171_Lev0.5_2024-02-07T07.24.48.298_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0155_000171_Lev0.5_2024-02-07T07.25.07.454_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0155_000171_Lev0.5_2024-02-07T07.32.13.388_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0155_000171_Lev0.5_2024-02-07T07.32.32.544_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T07.39.38.481_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T07.39.57.637_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T07.47.03.564_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T07.47.22.720_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T07.54.28.685_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T07.54.47.841_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.09.18.864_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.09.38.382_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.16.43.951_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.17.03.107_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.24.09.409_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.24.28.196_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.31.34.130_4081BB01.fits,179.74,Parial Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.31.53.286_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.54.48.372_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0156_000172_Lev0.5_2024-02-07T08.55.07.528_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0158_000174_Lev0.5_2024-02-07T09.14.47.989_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0158_000174_Lev0.5_2024-02-07T09.15.07.146_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0158_000174_Lev0.5_2024-02-07T09.34.48.121_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0158_000174_Lev0.5_2024-02-07T09.35.07.277_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0161_000177_Lev0.5_2024-02-07T10.14.48.380_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0161_000177_Lev0.5_2024-02-07T10.15.07.542_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0161_000177_Lev0.5_2024-02-07T10.34.47.998_4081BB01.fits,179.82,Complete Image,33.3
BB01,SUT_C24_0161_000177_Lev0.5_2024-02-07T10.35.07.154_4081BB01.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.36.11.296_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.36.31.419_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.43.36.385_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.43.56.509_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.51.01.474_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0151_000167_Lev0.5_2024-02-07T04.51.21.598_4081BB02.fits,0.62,Complete Image,33.3
