2024-02-12filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.34.47.961_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.35.07.118_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.42.13.489_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.42.32.205_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.49.38.138_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.49.57.294_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.57.03.227_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.57.22.383_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.04.28.348_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.04.47.504_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.11.53.437_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.12.12.593_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.19.18.526_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.19.37.682_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.26.43.613_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.27.02.769_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.34.08.707_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.34.27.863_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.41.33.824_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.41.52.980_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.04.48.339_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.05.07.189_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.24.47.653_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.25.06.809_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.44.47.782_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.45.06.938_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.04.47.913_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.05.07.695_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.24.48.427_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.25.07.198_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.32.13.131_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.32.32.287_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.39.38.221_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.39.57.377_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.47.03.310_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.47.22.466_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.54.28.397_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.54.47.553_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.01.53.486_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.02.12.642_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.09.18.575_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.09.37.754_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.16.43.665_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.17.02.821_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.24.08.756_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.24.27.912_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.31.33.873_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.31.53.298_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0218_000232_Lev0.5_2024-02-12T08.54.48.117_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0218_000232_Lev0.5_2024-02-12T08.55.07.273_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.14.47.735_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.15.06.891_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.34.47.864_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.35.07.207_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.54.47.994_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.55.07.150_4081BB01.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.36.11.422_4081BB02.fits,0.44,Complete Image,33.3
BB02,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.36.31.166_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.43.36.129_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0211_000225_Lev0.5_2024-02-12T04.43.56.253_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.51.01.218_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.51.21.342_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.58.26.307_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T04.58.46.431_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.05.51.428_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.06.11.552_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.13.16.517_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.13.36.641_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.20.41.606_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.21.01.731_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.28.06.694_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.28.26.818_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.35.31.783_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.35.51.907_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.42.56.904_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0212_000226_Lev0.5_2024-02-12T05.43.17.285_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.06.11.114_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.06.31.238_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.26.10.733_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.26.30.857_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.46.10.862_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0213_000227_Lev0.5_2024-02-12T06.46.30.986_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.06.10.993_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.06.31.117_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.26.11.122_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0216_000230_Lev0.5_2024-02-12T07.26.31.246_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.33.36.212_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.33.56.336_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.41.01.301_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.41.21.425_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.48.26.390_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.48.46.514_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.55.51.477_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T07.56.11.601_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.03.16.567_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.03.36.691_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.10.41.656_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.11.01.780_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.18.06.745_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.18.26.869_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.25.31.832_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.25.51.956_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.32.56.954_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0217_000231_Lev0.5_2024-02-12T08.33.17.781_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0218_000232_Lev0.5_2024-02-12T08.56.11.196_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0218_000232_Lev0.5_2024-02-12T08.56.31.320_4081BB02.fits,179.82,Complete Image,33.3
BB02,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.16.10.815_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.16.30.939_4081BB02.fits,179.82,Complete Image,33.3
BB02,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.36.10.945_4081BB02.fits,0.62,Complete Image,33.3
BB02,SUT_C24_0219_000233_Lev0.5_2024-02-12T09.36.31.691_4081BB02.fits,179.82,Complete Image,33.3
