2024-01-30filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0057_000072_Lev0.5_2024-01-30T04.34.48.112_4081BB01.fits,179.65,Complete Image,133.3
BB01,SUT_C24_0057_000072_Lev0.5_2024-01-30T04.35.07.167_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T04.42.13.100_4081BB01.fits,179.65,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T04.42.32.256_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0057_000072_Lev0.5_2024-01-30T04.49.38.189_4081BB01.fits,179.65,Complete Image,133.3
BB01,SUT_C24_0057_000072_Lev0.5_2024-01-30T04.49.57.345_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0057_000072_Lev0.5_2024-01-30T04.57.03.276_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T04.57.22.432_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.04.28.365_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T05.04.47.521_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.11.53.454_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T05.12.12.610_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.19.18.576_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.19.37.732_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.26.43.665_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.27.02.821_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.34.08.752_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.34.27.908_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T05.41.33.841_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0060_000075_Lev0.5_2024-01-30T05.41.52.997_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T06.04.48.117_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T06.05.07.273_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T06.24.47.702_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T06.25.06.858_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T06.44.47.831_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T06.45.06.987_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0058_000073_Lev0.5_2024-01-30T07.04.47.967_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T07.05.07.123_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T07.24.48.924_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0058_000073_Lev0.5_2024-01-30T07.25.07.248_4081BB01.fits,0.44,Complete Image,133.3
BB01,SUT_C24_0058_000073_Lev0.5_2024-01-30T07.32.13.181_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T07.32.32.337_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T07.39.38.271_4081BB01.fits,179.74,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T07.39.57.427_4081BB01.fits,0.53,Complete Image,133.3
BB01,SUT_C24_0056_000071_Lev0.5_2024-01-30T07.47.03.360_4081BB01.fits,179.74,Complete Image,133.3
