2024-02-02filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.34.47.960_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.35.07.116_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.42.13.496_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.42.32.205_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.49.38.136_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.49.57.292_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.57.03.225_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.57.22.381_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.04.28.314_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.04.47.470_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.11.53.436_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.12.12.592_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.19.18.525_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.19.37.681_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.26.43.614_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.27.02.770_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.34.08.703_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.34.27.859_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.41.33.790_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.41.52.946_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0094_000109_Lev0.5_2024-02-02T06.04.48.663_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0094_000109_Lev0.5_2024-02-02T06.05.07.222_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0094_000109_Lev0.5_2024-02-02T06.24.47.651_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0094_000109_Lev0.5_2024-02-02T06.25.06.807_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0094_000109_Lev0.5_2024-02-02T06.44.47.782_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0094_000109_Lev0.5_2024-02-02T06.45.06.938_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.04.47.911_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.05.07.677_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.24.48.428_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.25.07.198_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.32.13.132_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.32.32.292_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.39.38.219_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.39.57.375_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.47.03.312_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.47.22.468_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.54.28.397_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T07.54.47.553_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.01.53.486_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.02.12.643_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.09.18.574_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.09.37.748_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.16.43.663_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.17.02.819_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.24.08.752_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0095_000110_Lev0.5_2024-02-02T08.24.27.908_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0096_000111_Lev0.5_2024-02-02T08.31.33.841_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0096_000111_Lev0.5_2024-02-02T08.31.52.997_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0096_000111_Lev0.5_2024-02-02T08.54.48.115_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0096_000111_Lev0.5_2024-02-02T08.55.07.271_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T09.34.47.864_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0093_000108_Lev0.5_2024-02-02T09.35.07.207_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0096_000111_Lev0.5_2024-02-02T10.14.48.123_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0096_000111_Lev0.5_2024-02-02T10.15.07.279_4081BB01.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.36.11.407_4081BB02.fits,0.44,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.36.31.164_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.43.36.129_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.43.56.253_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.51.01.222_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.51.21.346_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.58.26.306_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0092_000107_Lev0.5_2024-02-02T04.58.46.430_4081BB02.fits,179.65,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.05.51.395_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.06.11.519_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.13.16.516_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.13.36.640_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.20.41.605_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.21.01.729_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.28.06.694_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0093_000108_Lev0.5_2024-02-02T05.28.26.818_4081BB02.fits,179.74,Complete Image,33.3
