2024-01-31filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.34.48.164_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.35.07.320_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.42.13.253_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.42.32.409_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.49.38.342_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.49.57.498_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.57.03.430_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T04.57.22.586_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T05.04.28.519_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0072_000087_Lev0.5_2024-01-31T05.04.47.675_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T05.11.53.608_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T05.12.12.764_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T05.19.18.697_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0072_000087_Lev0.5_2024-01-31T05.19.37.853_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0072_000087_Lev0.5_2024-01-31T05.26.43.786_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0072_000087_Lev0.5_2024-01-31T05.27.02.942_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T05.34.08.876_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0072_000087_Lev0.5_2024-01-31T05.34.28.320_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0072_000087_Lev0.5_2024-01-31T05.41.33.963_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0072_000087_Lev0.5_2024-01-31T05.41.53.119_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T06.04.48.271_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T06.05.07.427_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T06.24.47.856_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T06.25.07.124_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T06.44.47.987_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T06.45.07.143_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T07.04.48.116_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T07.05.07.273_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0069_000084_Lev0.5_2024-01-31T07.24.48.246_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T07.25.07.406_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T07.32.13.335_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T07.32.32.491_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T07.39.38.428_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0069_000084_Lev0.5_2024-01-31T07.39.57.584_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0068_000083_Lev0.5_2024-01-31T07.47.03.514_4081BB01.fits,0.62,Complete Image,33.3
