2024-02-08filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.34.48.369_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.35.07.525_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.42.13.458_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.42.32.614_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.49.38.548_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.49.57.704_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.57.03.637_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.57.22.793_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.04.28.726_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.04.47.886_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.11.53.813_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.12.12.969_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.19.18.904_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.19.38.607_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.26.43.991_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.27.03.147_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.34.09.810_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.34.28.237_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.41.34.170_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.41.53.326_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0183_000181_Lev0.5_2024-02-08T06.04.48.475_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0183_000181_Lev0.5_2024-02-08T06.05.07.631_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0184_000182_Lev0.5_2024-02-08T06.24.48.630_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0184_000182_Lev0.5_2024-02-08T06.25.07.219_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0184_000182_Lev0.5_2024-02-08T06.44.48.192_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0184_000182_Lev0.5_2024-02-08T06.45.07.348_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0186_000184_Lev0.5_2024-02-08T07.04.48.321_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0186_000184_Lev0.5_2024-02-08T07.05.07.477_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0186_000184_Lev0.5_2024-02-08T07.24.48.452_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0186_000184_Lev0.5_2024-02-08T07.25.07.608_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.32.13.573_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.32.32.730_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.39.38.661_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.39.57.817_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.47.03.750_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.47.22.906_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.54.28.839_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T07.54.47.995_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.01.53.932_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.02.13.889_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.09.19.161_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.09.38.190_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.16.44.105_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.17.03.261_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.24.09.194_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.24.28.350_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.31.34.284_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0182_000185_Lev0.5_2024-02-08T08.31.53.440_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0165_000186_Lev0.5_2024-02-08T09.34.48.273_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0165_000186_Lev0.5_2024-02-08T09.35.07.429_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0165_000186_Lev0.5_2024-02-08T09.54.48.404_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0165_000186_Lev0.5_2024-02-08T09.55.07.560_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0167_000188_Lev0.5_2024-02-08T10.14.48.224_4081BB01.fits,0.62,Complete Image,33.3
BB01,SUT_C24_0167_000188_Lev0.5_2024-02-08T10.15.07.178_4081BB01.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.36.11.450_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.36.31.574_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.43.36.539_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.43.56.663_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.51.01.628_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0180_000179_Lev0.5_2024-02-08T04.51.21.752_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0181_000180_Lev0.5_2024-02-08T04.58.26.717_4081BB02.fits,0.53,Complete Image,33.3
BB02,SUT_C24_0181_000180_Lev0.5_2024-02-08T04.58.46.845_4081BB02.fits,179.74,Complete Image,33.3
BB02,SUT_C24_0181_000180_Lev0.5_2024-02-08T05.05.51.806_4081BB02.fits,0.53,Complete Image,33.3
